fashionDesigner,designer_name
http://www.wikidata.org/entity/Q269846,Kathy Hilton
http://www.wikidata.org/entity/Q270356,Paloma Ruiz Picasso
http://www.wikidata.org/entity/Q270643,Mercedes de Acosta
http://www.wikidata.org/entity/Q271895,Miliyah Kato
http://www.wikidata.org/entity/Q272438,Diane von Fürstenberg
http://www.wikidata.org/entity/Q274559,Oumou Sy
http://www.wikidata.org/entity/Q274620,Hattie Carnegie
http://www.wikidata.org/entity/Q275094,Kate Spade
http://www.wikidata.org/entity/Q275343,Tara Subkoff
http://www.wikidata.org/entity/Q277616,Louis Vuitton
http://www.wikidata.org/entity/Q283703,Sadie Frost
http://www.wikidata.org/entity/Q284364,Sergio van Dijk
http://www.wikidata.org/entity/Q285536,Imelda Marcos
http://www.wikidata.org/entity/Q288029,Óscar de la Renta
http://www.wikidata.org/entity/Q288889,James Galanos
http://www.wikidata.org/entity/Q289089,Rachel Zoe
http://www.wikidata.org/entity/Q289952,Sandy Powell
http://www.wikidata.org/entity/Q292470,Isis King
http://www.wikidata.org/entity/Q296647,Ralph Lauren
http://www.wikidata.org/entity/Q299138,Kid Cudi
http://www.wikidata.org/entity/Q299211,Pierre Cardin
http://www.wikidata.org/entity/Q303766,Jay McCarroll
http://www.wikidata.org/entity/Q304322,Faune A. Chambers
http://www.wikidata.org/entity/Q307151,H. Naoto
http://www.wikidata.org/entity/Q310116,Lupe Fiasco
http://www.wikidata.org/entity/Q311193,Yoshiki
http://www.wikidata.org/entity/Q312262,Jean-Claude Pascal
http://www.wikidata.org/entity/Q312883,Boy George
http://www.wikidata.org/entity/Q313080,Soulja Boy
http://www.wikidata.org/entity/Q313108,Marc Jacobs
http://www.wikidata.org/entity/Q313550,Vidal Sassoon
http://www.wikidata.org/entity/Q313607,John Galliano
http://www.wikidata.org/entity/Q318149,Tom Ford
http://www.wikidata.org/entity/Q322060,Douglas Coupland
http://www.wikidata.org/entity/Q324365,Daymond John
http://www.wikidata.org/entity/Q326073,Slava Zaitsev
http://www.wikidata.org/entity/Q330009,Romeo Gigli
http://www.wikidata.org/entity/Q334412,Manolo Blahnik
http://www.wikidata.org/entity/Q334866,Ümit Ünal
http://www.wikidata.org/entity/Q340230,Achille Maramotti
http://www.wikidata.org/entity/Q346350,Pino Lancetti
http://www.wikidata.org/entity/Q350844,Christian Lacroix
http://www.wikidata.org/entity/Q352539,Roberto Cavalli
http://www.wikidata.org/entity/Q354423,Adele Filene
http://www.wikidata.org/entity/Q354459,Adele List
http://www.wikidata.org/entity/Q362249,Jimmy Choo
http://www.wikidata.org/entity/Q365063,Adolfo Domínguez
http://www.wikidata.org/entity/Q369197,Black Widow
http://www.wikidata.org/entity/Q370141,Jessica Rey
http://www.wikidata.org/entity/Q379664,Valentino
http://www.wikidata.org/entity/Q379830,Edison Chen
http://www.wikidata.org/entity/Q381088,Cristóbal Balenciaga
http://www.wikidata.org/entity/Q388035,Gloria Trevi
http://www.wikidata.org/entity/Q392230,Éric Tibusch
http://www.wikidata.org/entity/Q395669,Agostino Lanfranchi
http://www.wikidata.org/entity/Q433293,Ted Tinling
http://www.wikidata.org/entity/Q433388,Katoucha Niane
http://www.wikidata.org/entity/Q433537,Marit Allen
http://www.wikidata.org/entity/Q434761,Tamara Mellon
http://www.wikidata.org/entity/Q436146,Krizia
http://www.wikidata.org/entity/Q2533336,Addy van den Krommenacker
http://www.wikidata.org/entity/Q2553414,Veronique Branquinho
http://www.wikidata.org/entity/Q2556675,Iris van Herpen
http://www.wikidata.org/entity/Q2564121,Jenny Humphrey
http://www.wikidata.org/entity/Q2568967,Jan Taminiau
http://www.wikidata.org/entity/Q2572448,Admiral T
http://www.wikidata.org/entity/Q2577525,Tony Ward
http://www.wikidata.org/entity/Q2595516,Fong Leng
http://www.wikidata.org/entity/Q2602489,Yüksel Düzgün
http://www.wikidata.org/entity/Q2605571,"Francine, Crown Princess of Montenegro"
http://www.wikidata.org/entity/Q2612164,Enzo Miccio
http://www.wikidata.org/entity/Q2616561,Thomas Burberry
http://www.wikidata.org/entity/Q2623520,Tina Knowles
http://www.wikidata.org/entity/Q2624916,Janice
http://www.wikidata.org/entity/Q2626060,Nina García
http://www.wikidata.org/entity/Q2626293,Kerry Anne Wells
http://www.wikidata.org/entity/Q2628933,Ted Noten
http://www.wikidata.org/entity/Q2634269,Vivienne Tam
http://www.wikidata.org/entity/Q2638322,Albert Kriemler
http://www.wikidata.org/entity/Q2641519,Annelien Coorevits
http://www.wikidata.org/entity/Q2642012,Annemie Verbeke
http://www.wikidata.org/entity/Q2654553,Emily Grace Reaves
http://www.wikidata.org/entity/Q2655090,Ellen Stewart
http://www.wikidata.org/entity/Q2665312,Carrie Jansen
http://www.wikidata.org/entity/Q2670107,Stephen Jones
http://www.wikidata.org/entity/Q2671798,Mart Visser
http://www.wikidata.org/entity/Q2673194,Marie Abts
http://www.wikidata.org/entity/Q2675438,Nicky Vankets
http://www.wikidata.org/entity/Q2695919,Sjoerd Bakker
http://www.wikidata.org/entity/Q2724748,Aubrey O'Day
http://www.wikidata.org/entity/Q2736351,Agatha Ruiz de la Prada
http://www.wikidata.org/entity/Q2750160,Nicola Trussardi
http://www.wikidata.org/entity/Q2781372,Honorine Deschrijver
http://www.wikidata.org/entity/Q2784891,Joan Praetorius
http://www.wikidata.org/entity/Q2792958,Paul Marciano
http://www.wikidata.org/entity/Q2806266,Cecilie Melli
http://www.wikidata.org/entity/Q2827013,Agnès Troublé
http://www.wikidata.org/entity/Q2829868,Alain Gossuin
http://www.wikidata.org/entity/Q2835472,Alfred Sung
http://www.wikidata.org/entity/Q2837300,Manuel Cuevas
http://www.wikidata.org/entity/Q2837795,Allan Zeman
http://www.wikidata.org/entity/Q2839964,Lee Starkey
http://www.wikidata.org/entity/Q2845072,Daryl van Wouw
http://www.wikidata.org/entity/Q2857666,Manuel Mota
http://www.wikidata.org/entity/Q2861640,Arlette Nastat
http://www.wikidata.org/entity/Q2867242,Sjaak Hullekes
http://www.wikidata.org/entity/Q2887120,Juanjo Oliva
http://www.wikidata.org/entity/Q2930463,C.S. Leigh
http://www.wikidata.org/entity/Q2934824,Camilla Thulin
http://www.wikidata.org/entity/Q2939637,Marie-Louise Carven
http://www.wikidata.org/entity/Q2940051,Caroline Reboux
http://www.wikidata.org/entity/Q2942210,Cathy Pill
http://www.wikidata.org/entity/Q2945547,Tory Burch
http://www.wikidata.org/entity/Q2958386,Charles Anastase
http://www.wikidata.org/entity/Q2959504,Charles Jourdan
http://www.wikidata.org/entity/Q2961639,Alfred Shaheen
http://www.wikidata.org/entity/Q2964860,Chris Seydou
http://www.wikidata.org/entity/Q2965738,Christiane Bailly
http://www.wikidata.org/entity/Q2975089,Claire McCardell
http://www.wikidata.org/entity/Q2981186,Kimberly Stewart
http://www.wikidata.org/entity/Q2983903,Collé Ardo Sow
http://www.wikidata.org/entity/Q3002834,Cristi Conaway
http://www.wikidata.org/entity/Q3011016,Erwin Dolder
http://www.wikidata.org/entity/Q3012897,Damir Doma
http://www.wikidata.org/entity/Q3015878,Daphné Bürki
http://www.wikidata.org/entity/Q3023328,Marc Ecko
http://www.wikidata.org/entity/Q3032186,José Castro
http://www.wikidata.org/entity/Q3033970,Dolly Tree
