schoolLabel,locationSchoolLabel,countrySchoolLabel
University of Copenhagen,Copenhagen,Denmark
Danish Design School,Fabrikmestervej 10,Denmark
Vytautas Magnus University,Kaunas,Lithuania
University of Bucharest,Bucharest,Romania
Vitebsk State Technological University,Vitebsk,Belarus
American InterContinental University,Schaumburg,United States
Moscow State Textile University,Moscow,Russia
Moscow State Textile University,Moscow,Soviet Union
Hochschule für bildende Künste Hamburg,Uhlenhorst,Germany
Valentines High School,Ilford,United Kingdom
University of Minnesota,Saint Paul,United States
University of Minnesota,Minneapolis,United States
Gerrit Rietveld Academie,Amsterdam-Zuid,Netherlands
European Ceramics Work Center,Koninklijke Verenigde Leder BV,Netherlands
European Ceramics Work Center,Koninklijke Verenigde Leder BV,Netherlands
Gerrit Rietveld Academie,Amsterdam-Zuid,Netherlands
Konstfack,Gärdet,Sweden
Konstfack,Stockholm,Sweden
Konstfack,Midsommarkransen,Sweden
Gerrit Rietveld Academie,Amsterdam-Zuid,Netherlands
European Ceramics Work Center,Koninklijke Verenigde Leder BV,Netherlands
European Ceramics Work Center,Koninklijke Verenigde Leder BV,Netherlands
University of Havana,Havana,Cuba
Rhode Island School of Design,Providence,United States
Royal Danish Academy of Fine Arts,Charlottenborg Palace,Denmark
Royal College of Art,London,United Kingdom
Royal College of Art,Battersea,United Kingdom
Royal College of Art,South Kensington,United Kingdom
Ravensbourne University London,London,United Kingdom
Danish Design School,Fabrikmestervej 10,Denmark
Central Saint Martins,London,United Kingdom
University College London,Bloomsbury,United Kingdom
University College London,Stratford,United Kingdom
University College London,London,United Kingdom
Hall Cross Academy,Doncaster,United Kingdom
University of Applied Arts Vienna,Vienna,Austria
New Plymouth Girls' High School,New Plymouth,New Zealand
Coventry University,Coventry,United Kingdom
University of Leicester,Leicester,United Kingdom
University of Belgrade,Belgrade,Serbia
University of Belgrade,Belgrade,Serbia
University of London,London,United Kingdom
Central Saint Martins,London,United Kingdom
University of Bucharest,Bucharest,Romania
Central Saint Martins,London,United Kingdom
Newcastle University,Newcastle upon Tyne,United Kingdom
Central Saint Martins,London,United Kingdom
Graveney School,Tooting,United Kingdom
Académie des beaux-arts,Paris,France
Alexander Sinton Secondary School,Crawford,South Africa
Ipswich High School,Ipswich,United Kingdom
University of Westminster,London,United Kingdom
Royal College of Art,London,United Kingdom
Royal College of Art,Battersea,United Kingdom
Royal College of Art,South Kensington,United Kingdom
Royal College of Art,London,United Kingdom
Royal College of Art,Battersea,United Kingdom
Royal College of Art,South Kensington,United Kingdom
University of Calabar,Cross River State,Nigeria
Kingston University,Kingston upon Thames,United Kingdom
Tokyo Mode Gakuen,Mode Gakuen Cocoon Tower,Japan
Moscow State Textile University,Moscow,Russia
Moscow State Textile University,Moscow,Soviet Union
Westlake Girls High School,Takapuna,New Zealand
Westlake Girls High School,Auckland,New Zealand
Central Saint Martins,London,United Kingdom
Gerrit Rietveld Academie,Amsterdam-Zuid,Netherlands
University Practice Senior High  School,Central Region,Ghana
University of the Arts London,London,United Kingdom
University of Applied Arts Vienna,Vienna,Austria
De Montfort University,Leicester,United Kingdom
Gerrit Rietveld Academie,Amsterdam-Zuid,Netherlands
Central Saint Martins,London,United Kingdom
Moscow State Textile University,Moscow,Russia
Moscow State Textile University,Moscow,Soviet Union
Bowen University,Iwo,Nigeria
Central Saint Martins,London,United Kingdom
New York Film Academy,New York City,United States
Croydon College,Croydon,United Kingdom
Gerrit Rietveld Academie,Amsterdam-Zuid,Netherlands
European Ceramics Work Center,Koninklijke Verenigde Leder BV,Netherlands
University of Chicago,Chicago,United States
Central Saint Martins,London,United Kingdom
Forest Hill Collegiate Institute,Forest Hill,Canada
Camberwell College of Arts,London,United Kingdom
"University of California, Los Angeles",Los Angeles,United States
Central Saint Martins,London,United Kingdom
Juilliard School,Manhattan,United States
University of Exeter,St Luke's Campus,United Kingdom
University of Exeter,Streatham Campus,United Kingdom
University of Exeter,"University of Exeter, Cornwall Campus",United Kingdom
Central Saint Martins,London,United Kingdom
Central Saint Martins,London,United Kingdom
Central Saint Martins,London,United Kingdom
University of Leeds,University of Leeds Campus,United Kingdom
University College London,Bloomsbury,United Kingdom
University College London,Stratford,United Kingdom
University College London,London,United Kingdom
Atlantic Hall,Lagos State,Nigeria
Arts University Bournemouth,Poole,United Kingdom
Royal College of Art,London,United Kingdom
Royal College of Art,Battersea,United Kingdom
Royal College of Art,South Kensington,United Kingdom
Edinburgh College of Art,Edinburgh,United Kingdom
Leith Academy,Edinburgh,United Kingdom
Rhode Island School of Design,Providence,United States
Bowen University,Iwo,Nigeria
Royal Ballet School,London,United Kingdom
University of Tampa,Tampa,United States
Central Saint Martins,London,United Kingdom
University of Birmingham,Birmingham,United Kingdom
University of Birmingham,West Midlands,United Kingdom
University of Birmingham,Edgbaston,United Kingdom
Central Saint Martins,London,United Kingdom
Barnard Castle School,Barnard Castle,United Kingdom
Royal Central School of Speech and Drama,Swiss Cottage,United Kingdom
Royal College of Art,London,United Kingdom
Royal College of Art,Battersea,United Kingdom
Royal College of Art,South Kensington,United Kingdom
Dartford Grammar School,Dartford,United Kingdom
University of York,York,United Kingdom
Brighton Girls,Brighton,United Kingdom
Hong Kong Polytechnic University,Kowloon City District,People's Republic of China
Hong Kong Polytechnic University,Yau Tsim Mong District,People's Republic of China
Hong Kong Polytechnic University,Kowloon City District,British Hong Kong
Hong Kong Polytechnic University,Yau Tsim Mong District,British Hong Kong
Stockholm School of Economics,Vasastaden,Sweden
School of the Art Institute of Chicago,Chicago,United States
De Montfort University,Leicester,United Kingdom
Kendrick School,Reading,United Kingdom
Bryanston School,Blandford Forum,United Kingdom
Camberwell College of Arts,London,United Kingdom
St Dunstan's College,Catford,United Kingdom
"University of California, Los Angeles",Los Angeles,United States
King's College London,London,United Kingdom
AMD Academy of Fashion and Design,Rotherbaum,Germany
Willem de Kooning Academy,Blaak 10,Netherlands
Utrecht School of the Arts,Utrecht,Netherlands
Massey University,Fitzherbert,New Zealand
Central Saint Martins,London,United Kingdom
University of Leeds,University of Leeds Campus,United Kingdom
Loreto College,Hulme,United Kingdom
St Antony's Catholic College,Urmston,United Kingdom
Royal College of Art,London,United Kingdom
Royal College of Art,Battersea,United Kingdom
Royal College of Art,South Kensington,United Kingdom
Central Saint Martins,London,United Kingdom
Central Saint Martins,London,United Kingdom
La Cambre - Ter Kameren,south extension of Brussels,Belgium
La Cambre - Ter Kameren,eastern part of Ixelles,Belgium
Massey University,Fitzherbert,New Zealand
Ahmadu Bello University,Zaria,Nigeria
IFM Paris,Cité de la mode et du design,France
Utrecht School of the Arts,Utrecht,Netherlands
Utrecht School of the Arts,Utrecht,Netherlands
Gerrit Rietveld Academie,Amsterdam-Zuid,Netherlands
East Stroudsburg University of Pennsylvania,East Stroudsburg,United States
Liverpool College of Art,68 Hope Street (Now Part Of Liverpool John Moores University),United Kingdom
Epsom Girls' Grammar School,Epsom,New Zealand
Rhode Island School of Design,Providence,United States
Massey University,Fitzherbert,New Zealand
Heriot-Watt University,Edinburgh,United Kingdom
University of Brighton,Brighton,United Kingdom
Tonbridge School,Tonbridge,United Kingdom
Royal College of Art,London,United Kingdom
Royal College of Art,Battersea,United Kingdom
Royal College of Art,South Kensington,United Kingdom
Convent of the Sacred Heart,"James A. Burden, Jr. House and Otto H. Kahn House",United States
Central Saint Martins,London,United Kingdom
Haberdashers' Aske's School for Girls,Elstree,United Kingdom
Central Saint Martins,London,United Kingdom
University of Central Lancashire,Preston,United Kingdom
University of Chicago,Chicago,United States
School of the Art Institute of Chicago,Chicago,United States
Juilliard School,Manhattan,United States
Ravensbourne University London,London,United Kingdom
School of the Art Institute of Chicago,Chicago,United States
Central Saint Martins,London,United Kingdom
Rhode Island School of Design,Providence,United States
The New School,Greenwich Village,United States
Rutgers Preparatory School,Somerset,United States
Central Saint Martins,London,United Kingdom
Central Saint Martins,London,United Kingdom
Rhode Island School of Design,Providence,United States
University of Central Lancashire,Preston,United Kingdom
Emily Carr University of Art and Design,Great Northern Way Campus,Canada
Central Saint Martins,London,United Kingdom
IFM Paris,Cité de la mode et du design,France
Kingston University,Kingston upon Thames,United Kingdom
Withington Girls' School,Fallowfield,United Kingdom
